account_id,customer_id,branch_id,account_opened_branch_id,account_number,account_type,currency,account_status,open_date,current_balance,interest_rate,account_created_city,account_created_state,created_at,updated_at,source_system
ACC00007701,CUST00006225,BR00000077,BR00000077,539963281710,Current,INR,Active,2025-08-19,692102.14,0.0,UDALGURI,ASSAM,2026-08-03 12:22:46.294152,,Enterprise System
ACC00007702,CUST00006517,BR00000076,BR00000078,734997142985,Savings,INR,Active,2006-12-23,478963.92,3.2,KUSHI NAGAR,UTTAR PRADESH,2026-08-03 12:22:46.294152,,Enterprise System
ACC00007703,CUST00006433,BR00000079,BR00000077,015143071077,Recurring Deposit,INR,Active,2022-09-14,890509.47,5.88,UDALGURI,ASSAM,2026-08-03 12:22:46.295228,,Enterprise System
ACC00007704,CUST00006728,BR00000077,BR00000077,026961127910,Savings,INR,Active,2024-05-23,486079.93,3.38,UDALGURI,ASSAM,2026-08-03 12:22:46.295228,,Enterprise System
ACC00007705,CUST00006632,BR00000076,BR00000076,100529393119,Savings,INR,Active,2016-10-31,250439.47,4.24,VIKARABAD,TELANGANA,2026-08-03 12:22:46.295228,,Enterprise System
ACC00007706,CUST00006494,BR00000078,BR00000078,673244840845,Savings,INR,Active,2025-01-19,244306.07,3.03,KUSHI NAGAR,UTTAR PRADESH,2026-08-03 12:22:46.295228,,Enterprise System
ACC00007707,CUST00006701,BR00000076,BR00000076,693137032074,Salary,INR,Active,2020-11-23,78852.54,3.67,VIKARABAD,TELANGANA,2026-08-03 12:22:46.295228,,Enterprise System
ACC00007708,CUST00006377,BR00000079,BR00000079,395124091818,Savings,INR,Active,2014-06-11,437405.74,3.31,SALEM,TAMIL NADU,2026-08-03 12:22:46.296732,,Enterprise System
ACC00007709,CUST00006437,BR00000077,BR00000077,529731655575,Savings,INR,Active,2009-10-20,411865.36,3.03,UDALGURI,ASSAM,2026-08-03 12:22:46.296732,,Enterprise System
ACC00007710,CUST00006590,BR00000078,BR00000078,438047887452,Current,INR,Active,2019-05-03,1829693.76,0.0,KUSHI NAGAR,UTTAR PRADESH,2026-08-03 12:22:46.296732,,Enterprise System
ACC00007711,CUST00006537,BR00000077,BR00000077,107104058613,Recurring Deposit,INR,Active,2008-11-21,384382.01,6.16,UDALGURI,ASSAM,2026-08-03 12:22:46.296732,,Enterprise System
ACC00007712,CUST00006099,BR00000076,BR00000076,894810270871,Savings,INR,Active,2018-01-24,179773.38,2.84,VIKARABAD,TELANGANA,2026-08-03 12:22:46.296732,,Enterprise System
ACC00007713,CUST00006572,BR00000077,BR00000077,832941097708,Current,INR,Active,2015-04-12,2258331.8,0.0,UDALGURI,ASSAM,2026-08-03 12:22:46.297823,,Enterprise System
ACC00007714,CUST00006207,BR00000079,BR00000079,751360332133,Salary,INR,Active,2026-02-09,196689.47,3.04,SALEM,TAMIL NADU,2026-08-03 12:22:46.297823,,Enterprise System
ACC00007715,CUST00006297,BR00000079,BR00000079,933653407010,Savings,INR,Active,2013-08-21,162754.99,4.39,SALEM,TAMIL NADU,2026-08-03 12:22:46.297823,,Enterprise System
ACC00007716,CUST00006456,BR00000080,BR00000080,704469777323,Savings,INR,Active,2007-05-08,347078.72,4.31,TIRUNELVELI,TAMIL NADU,2026-08-03 12:22:46.297823,,Enterprise System
ACC00007717,CUST00006361,BR00000079,BR00000079,341579167899,Salary,INR,Active,2026-01-27,198350.31,3.18,SALEM,TAMIL NADU,2026-08-03 12:22:46.297823,,Enterprise System
ACC00007718,CUST00006459,BR00000077,BR00000077,127857679473,Salary,INR,Active,2013-10-06,168460.11,3.5,UDALGURI,ASSAM,2026-08-03 12:22:46.297823,,Enterprise System
ACC00007719,CUST00006723,BR00000078,BR00000078,252256505376,Savings,INR,Active,2008-06-09,104092.95,3.24,KUSHI NAGAR,UTTAR PRADESH,2026-08-03 12:22:46.297823,,Enterprise System
ACC00007720,CUST00006529,BR00000079,BR00000077,121734864139,Salary,INR,Active,2026-05-22,36821.02,2.99,UDALGURI,ASSAM,2026-08-03 12:22:46.299596,,Enterprise System
ACC00007721,CUST00006439,BR00000076,BR00000076,629935549479,Salary,INR,Active,2025-07-15,44692.56,3.47,VIKARABAD,TELANGANA,2026-08-03 12:22:46.299596,,Enterprise System
ACC00007722,CUST00006017,BR00000080,BR00000080,900720039243,Salary,INR,Active,2011-03-30,165814.03,3.43,TIRUNELVELI,TAMIL NADU,2026-08-03 12:22:46.299596,,Enterprise System
ACC00007723,CUST00006360,BR00000077,BR00000077,062242319607,NRE,GBP,Closed,2019-09-04,7464961.74,5.52,UDALGURI,ASSAM,2026-08-03 12:22:46.299596,,Enterprise System
ACC00007724,CUST00006400,BR00000080,BR00000080,901014590841,Savings,INR,Closed,2007-08-15,302713.09,3.54,TIRUNELVELI,TAMIL NADU,2026-08-03 12:22:46.299596,,Enterprise System
ACC00007725,CUST00006200,BR00000079,BR00000079,024282806198,NRO,INR,Closed,2011-11-19,1946796.74,4.46,SALEM,TAMIL NADU,2026-08-03 12:22:46.300513,,Enterprise System
ACC00007726,CUST00006048,BR00000077,BR00000077,911183387663,Savings,INR,Active,2019-09-13,406729.26,4.08,UDALGURI,ASSAM,2026-08-03 12:22:46.300513,,Enterprise System
ACC00007727,CUST00006722,BR00000080,BR00000080,300325135981,Savings,INR,Active,2014-12-24,9959.9,3.76,TIRUNELVELI,TAMIL NADU,2026-08-03 12:22:46.300513,,Enterprise System
ACC00007728,CUST00006049,BR00000079,BR00000079,500243423132,Salary,INR,Active,2012-12-07,285551.12,3.37,SALEM,TAMIL NADU,2026-08-03 12:22:46.300513,,Enterprise System
ACC00007729,CUST00006463,BR00000076,BR00000076,097774932155,Recurring Deposit,INR,Active,2009-10-14,107433.97,5.26,VIKARABAD,TELANGANA,2026-08-03 12:22:46.300513,,Enterprise System
ACC00007730,CUST00006285,BR00000078,BR00000078,035552930674,Savings,INR,Active,2013-04-03,372697.63,3.14,KUSHI NAGAR,UTTAR PRADESH,2026-08-03 12:22:46.301520,,Enterprise System
ACC00007731,CUST00006566,BR00000077,BR00000077,176541738835,NRE,GBP,Active,2025-08-05,2602821.56,5.86,UDALGURI,ASSAM,2026-08-03 12:22:46.301925,,Enterprise System
ACC00007732,CUST00006591,BR00000078,BR00000078,844586522547,Savings,INR,Active,2014-01-11,254192.46,3.76,KUSHI NAGAR,UTTAR PRADESH,2026-08-03 12:22:46.301990,,Enterprise System
ACC00007733,CUST00006397,BR00000078,BR00000078,420928514969,Salary,INR,Active,2021-09-12,154086.21,3.85,KUSHI NAGAR,UTTAR PRADESH,2026-08-03 12:22:46.301990,,Enterprise System
ACC00007734,CUST00006548,BR00000080,BR00000076,379601424007,Savings,INR,Active,2012-11-14,6693.21,3.72,VIKARABAD,TELANGANA,2026-08-03 12:22:46.301990,,Enterprise System
ACC00007735,CUST00006380,BR00000076,BR00000076,100007361046,Savings,INR,Active,2019-09-08,200183.41,3.15,VIKARABAD,TELANGANA,2026-08-03 12:22:46.303093,,Enterprise System
ACC00007736,CUST00006004,BR00000080,BR00000080,562437539146,NRO,EUR,Frozen,2010-11-11,1556633.82,5.32,TIRUNELVELI,TAMIL NADU,2026-08-03 12:22:46.303093,,Enterprise System
ACC00007737,CUST00006699,BR00000076,BR00000078,451725633725,Savings,INR,Active,2008-09-28,83851.09,2.6,KUSHI NAGAR,UTTAR PRADESH,2026-08-03 12:22:46.303093,,Enterprise System
ACC00007738,CUST00006302,BR00000079,BR00000079,536553259305,Salary,INR,Active,2013-11-19,74282.73,3.9,SALEM,TAMIL NADU,2026-08-03 12:22:46.304097,,Enterprise System
ACC00007739,CUST00006580,BR00000080,BR00000080,429808550388,Savings,INR,Active,2024-06-17,441052.73,3.23,TIRUNELVELI,TAMIL NADU,2026-08-03 12:22:46.304097,,Enterprise System
ACC00007740,CUST00006353,BR00000077,BR00000076,087594351767,Current,INR,Active,2012-09-22,2376053.97,0.0,VIKARABAD,TELANGANA,2026-08-03 12:22:46.304097,,Enterprise System
ACC00007741,CUST00006432,BR00000080,BR00000080,070683977643,Savings,INR,Active,2013-01-20,376168.44,2.66,TIRUNELVELI,TAMIL NADU,2026-08-03 12:22:46.304097,,Enterprise System
ACC00007742,CUST00006303,BR00000080,BR00000080,582460764670,Savings,INR,Active,2012-07-25,42654.7,3.32,TIRUNELVELI,TAMIL NADU,2026-08-03 12:22:46.305096,,Enterprise System
