card_id,account_id,card_number,card_type,network,issue_date,expiry_date,credit_limit,card_status,card_holder_name,cvv,pin_generation_status,contactless_enabled,international_usage_enabled,created_at,updated_at,source_system
CD00008065,ACC00007701,2466143647304596,Debit,RuPay,2026-06-22,2031-06-21,0.0,Active,FALAK MADAN,532,Generated,Yes,No,2026-08-03 12:22:46.315786,,Enterprise System
CD00008066,ACC00007702,8859750343366434,Credit,RuPay,2022-11-19,2027-11-18,200000.0,Active,JEET GOLLA,984,Generated,Yes,No,2026-08-03 12:22:46.315786,,Enterprise System
CD00008067,ACC00007702,1644312825715151,Prepaid,RuPay,2011-10-31,2016-10-29,25000.0,Active,JEET GOLLA,620,Generated,Yes,No,2026-08-03 12:22:46.316786,,Enterprise System
CD00008068,ACC00007704,9356584389883923,Debit,Mastercard,2024-06-06,2029-06-05,0.0,Active,NAKSH SAMRA,528,Generated,Yes,No,2026-08-03 12:22:46.316786,,Enterprise System
CD00008069,ACC00007704,4126640388705505,Debit,RuPay,2025-03-15,2030-03-14,0.0,Active,NAKSH SAMRA,530,Generated,Yes,No,2026-08-03 12:22:46.316786,,Enterprise System
CD00008070,ACC00007705,4662750352018609,Credit,Mastercard,2021-12-24,2026-12-23,100000.0,Active,MOHAMMED SANGHVI,253,Generated,Yes,No,2026-08-03 12:22:46.316786,,Enterprise System
CD00008071,ACC00007706,0259272734689297,Charge,Visa,2025-05-08,2030-05-07,200000.0,Active,DHRITI SACHDEV,944,Generated,Yes,No,2026-08-03 12:22:46.317799,,Enterprise System
CD00008072,ACC00007706,4452361416117870,Debit,Mastercard,2026-04-16,2031-04-15,0.0,Active,DHRITI SACHDEV,993,Generated,Yes,No,2026-08-03 12:22:46.317799,,Enterprise System
CD00008073,ACC00007707,3311393774403567,Prepaid,Visa,2023-01-13,2028-01-12,50000.0,Active,SACHI NAGARAJAN,627,Generated,Yes,No,2026-08-03 12:22:46.317799,,Enterprise System
CD00008074,ACC00007708,6179806808546805,Debit,Visa,2022-04-15,2027-04-14,0.0,Active,MEKHALA CHANDA,377,Generated,Yes,Yes,2026-08-03 12:22:46.317799,,Enterprise System
CD00008075,ACC00007709,3212909821926547,Debit,RuPay,2009-12-19,2014-12-18,0.0,Active,SAMAR MITTER,260,Generated,Yes,No,2026-08-03 12:22:46.319389,,Enterprise System
CD00008076,ACC00007710,7747256093804352,Debit,Visa,2020-06-10,2025-06-09,0.0,Active,TRIVENI DAVE,185,Generated,Yes,No,2026-08-03 12:22:46.319544,,Enterprise System
CD00008077,ACC00007712,8390693659419873,Debit,Mastercard,2018-07-28,2023-07-27,0.0,Active,MASON SRIVASTAVA,338,Generated,Yes,Yes,2026-08-03 12:22:46.319544,,Enterprise System
