alert_id,transaction_id,fraud_score,alert_reason,alert_status,alert_timestamp,assigned_to,assignee_emp_id,resolution_date,created_at,updated_at,source_system
ALR00003001,TR00333636,1,High Transaction Amount,Resolved,2011-12-21 05:55:00,Oni Naidu,EMP00000363,2012-01-10,2026-08-03 12:15:19.629547,,Fraud Detection System
ALR00003002,TR00308223,31,Unusual Spending Pattern,Resolved,2019-03-20 12:40:25,Orinder Sani,EMP00000359,2019-04-03,2026-08-03 12:15:19.630169,,Fraud Detection System
ALR00003003,TR00419120,28,High Transaction Amount,Closed,2024-04-18 11:49:30,Faris Ray,EMP00000371,2024-05-01,2026-08-03 12:15:19.631273,,Fraud Detection System
ALR00003004,TR00339257,28,Blacklisted Merchant,Under Investigation,2023-09-08 15:06:26,Orinder Sani,EMP00000359,,2026-08-03 12:15:19.632279,,Fraud Detection System
ALR00003005,TR00355962,15,Unusual Spending Pattern,False Positive,2019-07-21 13:23:42,Faris Ray,EMP00000371,2019-08-14,2026-08-03 12:15:19.633273,,Fraud Detection System
ALR00003006,TR00360429,44,Multiple Failed Attempts,False Positive,2018-06-06 17:44:06,Oni Naidu,EMP00000363,2018-06-16,2026-08-03 12:15:19.634214,,Fraud Detection System
ALR00003007,TR00318414,18,Velocity Check Failed,Resolved,2015-08-29 02:04:58,Vaishnavi Bahri,EMP00000375,2015-09-19,2026-08-03 12:15:19.634214,,Fraud Detection System
ALR00003008,TR00377852,81,Blacklisted Merchant,Resolved,2025-02-06 02:52:59,Ekaja Madan,EMP00000358,2025-02-28,2026-08-03 12:15:19.635822,,Fraud Detection System
ALR00003009,TR00429984,69,Card Not Present,False Positive,2024-03-10 12:53:57,Neel Deo,EMP00000368,2024-04-04,2026-08-03 12:15:19.636925,,Fraud Detection System
ALR00003010,TR00265147,70,Velocity Check Failed,Under Investigation,2025-05-03 07:21:46,Faris Ray,EMP00000371,,2026-08-03 12:15:19.637888,,Fraud Detection System
ALR00003011,TR00362315,10,Velocity Check Failed,Resolved,2015-10-05 07:37:36,Vaishnavi Bahri,EMP00000375,2015-10-26,2026-08-03 12:15:19.638934,,Fraud Detection System
ALR00003012,TR00303599,10,Location Mismatch,Resolved,2022-08-21 14:58:21,Neel Deo,EMP00000368,2022-09-16,2026-08-03 12:15:19.639532,,Fraud Detection System
ALR00003013,TR00380949,93,Card Not Present,Open,2024-03-17 11:38:42,,,,2026-08-03 12:15:19.640646,,Fraud Detection System
ALR00003014,TR00374609,94,High Transaction Amount,Resolved,2026-06-28 08:54:07,Faris Ray,EMP00000371,2026-07-14,2026-08-03 12:15:19.641543,,Fraud Detection System
ALR00003015,TR00259520,34,Velocity Check Failed,Under Investigation,2026-05-30 14:27:29,Orinder Sani,EMP00000359,,2026-08-03 12:15:19.643629,,Fraud Detection System
ALR00003016,TR00273265,23,High Transaction Amount,Resolved,2012-11-20 07:20:52,Faris Ray,EMP00000371,2012-12-11,2026-08-03 12:15:19.644627,,Fraud Detection System
ALR00003017,TR00355878,32,Unusual Spending Pattern,Resolved,2016-05-15 15:52:38,Vaishnavi Bahri,EMP00000375,2016-05-25,2026-08-03 12:15:19.645544,,Fraud Detection System
