card_id,account_id,card_number,card_type,network,issue_date,expiry_date,credit_limit,card_status,card_holder_name,cvv,pin_generation_status,contactless_enabled,international_usage_enabled,created_at,updated_at,source_system
CD00007322,ACC00007001,1335789497402566,Debit,RuPay,2022-10-28,2027-10-27,0.0,Active,URVASHI MITAL,202,Generated,No,No,2026-08-03 12:14:11.586674,,Enterprise System
CD00007323,ACC00007001,1406538900980348,Credit,RuPay,2022-04-05,2027-04-04,100000.0,Active,URVASHI MITAL,955,Generated,Yes,No,2026-08-03 12:14:11.586674,,Enterprise System
CD00007324,ACC00007002,2496193387600783,Debit,Visa,2023-12-20,2028-12-18,0.0,Active,ONI SOOD,231,Generated,No,Yes,2026-08-03 12:14:11.587756,,Enterprise System
CD00007325,ACC00007003,8154358253825331,Debit,Visa,2023-11-25,2028-11-23,0.0,Active,ABHIMANYU PATLA,773,Generated,Yes,Yes,2026-08-03 12:14:11.587756,,Enterprise System
CD00007326,ACC00007004,4081310031628633,Debit,Visa,2024-12-21,2029-12-20,0.0,Active,NITARA VARTY,961,Generated,Yes,No,2026-08-03 12:14:11.588757,,Enterprise System
CD00007327,ACC00007005,3559728042714654,Debit,RuPay,2023-04-13,2028-04-11,0.0,Active,IMARAN THAKUR,384,Generated,Yes,Yes,2026-08-03 12:14:11.588757,,Enterprise System
CD00007328,ACC00007005,4120787523858014,Debit,Visa,2021-06-19,2026-06-18,0.0,Active,IMARAN THAKUR,987,Generated,Yes,Yes,2026-08-03 12:14:11.588757,,Enterprise System
CD00007329,ACC00007006,8310944621230690,Credit,Mastercard,2025-05-28,2030-05-27,50000.0,Blocked,RANVEER BANIK,471,Generated,Yes,No,2026-08-03 12:14:11.588757,,Enterprise System
CD00007330,ACC00007006,2893683188332266,Debit,RuPay,2022-11-12,2027-11-11,0.0,Active,RANVEER BANIK,293,Generated,Yes,No,2026-08-03 12:14:11.589766,,Enterprise System
CD00007331,ACC00007007,6759769925960609,Debit,Visa,2024-03-26,2029-03-25,0.0,Active,DAVID MUKHERJEE,444,Generated,Yes,No,2026-08-03 12:14:11.590362,,Enterprise System
CD00007332,ACC00007007,7847003442306620,Debit,Visa,2025-07-22,2030-07-21,0.0,Active,DAVID MUKHERJEE,813,Generated,Yes,No,2026-08-03 12:14:11.590362,,Enterprise System
CD00007333,ACC00007008,3125664684249735,Debit,Visa,2026-05-16,2031-05-15,0.0,Active,AGASTYA MANNAN,715,Generated,Yes,Yes,2026-08-03 12:14:11.590362,,Enterprise System
CD00007334,ACC00007010,6356334583542181,Debit,Visa,2025-07-03,2030-07-02,0.0,Active,ZAID BADAL,870,Generated,Yes,No,2026-08-03 12:14:11.590362,,Enterprise System
CD00007335,ACC00007013,5973954507432283,Debit,Visa,2025-08-28,2030-08-27,0.0,Active,LUKE GILL,506,Generated,No,No,2026-08-03 12:14:11.591449,,Enterprise System
CD00007336,ACC00007014,8179182895276523,Charge,Mastercard,2021-05-22,2026-05-21,1000000.0,Active,EKANSH NAIDU,894,Generated,Yes,No,2026-08-03 12:14:11.591449,,Enterprise System
CD00007337,ACC00007015,5046424874489579,Debit,Mastercard,2026-04-09,2031-04-08,0.0,Active,JAIRAJ MODY,900,Generated,Yes,Yes,2026-08-03 12:14:11.591449,,Enterprise System
CD00007338,ACC00007015,0163451763017542,Credit,RuPay,2025-12-25,2030-12-24,500000.0,Active,JAIRAJ MODY,435,Generated,Yes,No,2026-08-03 12:14:11.592481,,Enterprise System
CD00007339,ACC00007016,4178444740977599,Debit,Mastercard,2024-12-08,2029-12-07,0.0,Closed,LAKSH KIBE,869,Generated,Yes,No,2026-08-03 12:14:11.592481,,Enterprise System
CD00007340,ACC00007016,0404712449466231,Debit,RuPay,2026-07-13,2031-07-12,0.0,Stolen,LAKSH KIBE,151,Generated,Yes,No,2026-08-03 12:14:11.592481,,Enterprise System
CD00007341,ACC00007017,9207722769362151,Credit,Mastercard,2024-10-18,2029-10-17,200000.0,Active,NOAH KHALSA,948,Generated,Yes,Yes,2026-08-03 12:14:11.593454,,Enterprise System
CD00007342,ACC00007017,8497166805616737,Credit,RuPay,2016-03-26,2021-03-25,100000.0,Active,NOAH KHALSA,724,Generated,Yes,No,2026-08-03 12:14:11.593454,,Enterprise System
CD00007343,ACC00007018,0270262416231997,Debit,RuPay,2015-11-11,2020-11-09,0.0,Active,VARSHA THAKER,161,Generated,Yes,No,2026-08-03 12:14:11.593454,,Enterprise System
CD00007344,ACC00007020,3691978512342498,Debit,Visa,2023-12-24,2028-12-22,0.0,Active,EESHA SURI,313,Generated,Yes,No,2026-08-03 12:14:11.593454,,Enterprise System
CD00007345,ACC00007020,6400515060565751,Debit,American Express,2014-03-08,2019-03-07,0.0,Active,EESHA SURI,427,Generated,Yes,Yes,2026-08-03 12:14:11.594456,,Enterprise System
