customer_id,pan_number,aadhaar_number,pan_verified,aadhaar_verified,address_verified,kyc_status,verification_date
CUST00000001,LALBG2977N,350214210611,False,False,False,Pending,
CUST00000002,YIYEA5173Y,124451619465,True,True,False,Pending,
CUST00000003,FNMVV3998U,323677098953,False,True,True,Pending,
CUST00000004,MDVIN2495V,215552489930,True,False,True,Pending,
CUST00000005,ACCOY6057Y,112126109061,False,True,True,Pending,
CUST00000006,GKSMN4174J,931639348355,True,False,False,Pending,
CUST00000007,HXCLI7716J,896432246963,True,False,False,Pending,
CUST00000008,AQSQE4312I,309262048240,True,False,False,Pending,
CUST00000009,LFCBN8285H,324715258999,False,True,True,Pending,
CUST00000010,PETOU9522D,885840734319,False,False,True,Pending,
CUST00000011,HQYYN8132W,758970154227,False,False,True,Pending,
CUST00000012,LQVAW1768X,536889089643,False,False,False,Pending,
CUST00000013,CMKSE5405U,411530912707,True,True,True,Pending,
CUST00000014,BZQTD3048I,470996745071,False,False,True,Pending,
CUST00000015,DRRJR8276K,768112005655,True,True,False,Pending,
CUST00000016,AUHQP9696O,270759335924,True,True,False,Pending,
CUST00000017,GDPCM1601M,378118689383,False,False,True,Pending,
CUST00000018,HIUSC5666B,384058870491,False,False,True,Pending,
CUST00000019,DTIOI7787E,334405938983,True,False,True,Pending,
CUST00000020,RMRFT1966K,829989598148,True,True,False,Pending,
CUST00000021,JKHHV3997O,300636470487,False,False,True,Pending,
CUST00000022,YOZCD5776U,476337799380,True,True,False,Pending,
CUST00000023,UUCVF8433N,049191799705,True,True,True,Verified,2016-10-07
CUST00000024,ABETZ7916F,255784190322,False,True,True,Pending,
CUST00000025,QXBKW8737A,941957241685,True,True,False,Pending,
CUST00000026,SONRQ6722G,405347492308,False,False,True,Pending,
CUST00000027,HKBFR8690V,267453396259,True,False,True,Pending,
CUST00000028,QXMIW8414H,722638617168,True,False,True,Pending,
CUST00000029,UNAJH6254A,357835421135,True,False,True,Pending,
CUST00000030,ZHBLO9988J,315227911074,False,True,False,Pending,
CUST00000031,JVARW1417N,865232042042,False,True,False,Pending,
CUST00000032,GNZHZ1795C,367245089320,False,False,True,Pending,
CUST00000033,DWFJH7144J,310291209765,False,False,False,Pending,
CUST00000034,CSZMN7937E,089279979348,True,False,False,Pending,
CUST00000035,GKQDJ2561O,754750316815,False,True,False,Pending,
CUST00000036,SRPKA3876A,039081970476,False,False,False,Pending,
CUST00000037,XOOIA9037F,193041808482,False,False,False,Pending,
CUST00000038,KBUMW5995H,221563439768,False,True,False,Pending,
CUST00000039,NIHHF3801Z,995575538350,False,True,True,Pending,
CUST00000040,EOAXQ5491I,329792022212,False,False,True,Pending,
CUST00000041,EVSNZ8764Z,026005206108,False,True,True,Pending,
CUST00000042,MQIXG7436G,773642178572,True,False,False,Pending,
CUST00000043,KCZHV4472R,086919180981,True,False,True,Pending,
CUST00000044,SSUQM1159A,410233628641,False,False,False,Pending,
CUST00000045,QGOGS4669W,649036571688,True,False,False,Pending,
CUST00000046,PBXOY5449A,574487038171,True,True,True,Pending,
CUST00000047,PXUUP4993E,853373623057,False,False,False,Pending,
CUST00000048,KKXGW6988Z,852186253956,True,False,True,Pending,
CUST00000049,EGSPP4291Z,426926344483,False,False,False,Pending,
CUST00000050,ZIWXP1178C,937728675668,True,True,False,Pending,
CUST00000051,UFIRX3037A,717806550264,False,False,False,Rejected,2026-05-24
CUST00000052,GKHED8307M,579667581343,True,True,True,Pending,
CUST00000053,VJEKS7304N,378612045977,False,False,False,Pending,
CUST00000054,GJUKY3730L,191155652927,False,False,True,Pending,
CUST00000055,DRASL8693T,338395027862,True,True,False,Pending,
CUST00000056,GCIZF8384Q,514120119067,False,True,True,Pending,
CUST00000057,FKIRL6080O,611558497384,True,True,True,Verified,1980-11-09
CUST00000058,JDEAX7932X,678619866453,True,True,True,Pending,
CUST00000059,FBLQH7552A,310777353396,True,False,True,Pending,
CUST00000060,EUJVO1226F,720993525120,False,False,True,Pending,
CUST00000061,NZJIT9168W,004758701280,True,True,True,Verified,2017-07-17
CUST00000062,LECZD4213R,610108301535,False,False,False,Rejected,2023-06-24
CUST00000063,BSKAN4157Z,841962841944,True,False,True,Pending,
CUST00000064,MEETU4240S,576853893356,False,True,False,Pending,
CUST00000065,CXOGO3941O,869856879673,False,True,False,Pending,
CUST00000066,SNTPZ8151L,216348786480,False,False,True,Pending,
CUST00000067,NUDTJ5987D,022058359578,False,True,True,Pending,
CUST00000068,JEZGX9829F,760670625091,True,False,True,Pending,
CUST00000069,ZCYOY6339N,069932323673,False,True,False,Pending,
CUST00000070,COTFB3787A,272216317419,False,False,True,Pending,
CUST00000071,GZXAS9831M,354692326624,True,True,False,Pending,
CUST00000072,PWLDK4336G,891228002370,False,False,True,Pending,
CUST00000073,BBRRG2844F,393381894549,False,True,True,Pending,
CUST00000074,JCUWE9683V,589725067132,True,True,True,Verified,2004-12-17
CUST00000075,PWCIK5777H,901533958332,True,False,True,Pending,
CUST00000076,VAENN9737T,364590300679,False,False,True,Pending,
CUST00000077,OBQAJ2058E,174726723406,True,False,False,Pending,
CUST00000078,MWXQO7381R,970734218089,False,False,True,Pending,
CUST00000079,XPDWU9165S,953420566807,True,True,False,Pending,
CUST00000080,LYJEX9832A,530361004605,False,True,False,Pending,
CUST00000081,AQUTE5447N,271675205935,True,True,False,Pending,
CUST00000082,TGMEU5637E,589199597465,True,False,False,Pending,
CUST00000083,JXCKU4026U,888948978941,False,False,False,Pending,
CUST00000084,TRJND9227A,823143025200,False,True,False,Pending,
CUST00000085,ROOOO6176H,467099785061,True,False,True,Pending,
CUST00000086,YLNRV9524V,162666987422,True,True,True,Pending,
CUST00000087,ZKCOT6192J,957117049441,True,False,False,Pending,
CUST00000088,GWRQX9875Y,313218167049,True,False,True,Pending,
CUST00000089,ABMLM7237Q,516406400584,False,False,True,Pending,
CUST00000090,JSDWZ3295T,428981166497,True,True,True,Verified,2020-03-03
CUST00000091,IPMSJ2778Y,337599334582,False,True,True,Pending,
CUST00000092,CPJLI3227Y,924768072579,True,True,False,Pending,
CUST00000093,IHEMK3476D,360629494472,True,True,True,Pending,
CUST00000094,IMPPU9183K,119489333639,True,False,False,Pending,
CUST00000095,IHCYT8510P,194459596140,False,True,True,Pending,
CUST00000096,CNCXX5129A,535293227697,False,False,False,Pending,
CUST00000097,ENHVW4624E,616917499394,True,False,False,Pending,
CUST00000098,SPCUJ5325P,006887302962,True,True,False,Pending,
CUST00000099,GKGUL3402Y,827128826310,False,False,True,Pending,
CUST00000100,JZBMT9830Q,168204328127,False,False,True,Pending,
CUST00000101,HWVEM5339G,788724275814,True,False,False,Pending,
CUST00000102,SOVYQ4512D,647059488753,False,False,True,Pending,
CUST00000103,EQIVN4853E,281710822819,True,False,True,Pending,
CUST00000104,OMJQQ5060G,678358845490,True,True,False,Pending,
CUST00000105,FRXTR2713W,196764758335,False,False,True,Pending,
CUST00000106,EAKRQ8735P,773084298507,True,True,True,Pending,
CUST00000107,LCBRW4791M,320154612149,True,True,True,Pending,
CUST00000108,NQKLC5262X,194926511858,True,True,True,Pending,
CUST00000109,QCQQC9944A,961249201843,True,True,True,Pending,
CUST00000110,UNKMM4088Q,016584563245,False,True,True,Pending,
CUST00000111,LKKCI1136T,852177296229,True,False,True,Pending,
CUST00000112,CHKRE8414J,307667400184,False,False,False,Pending,
CUST00000113,EOAYD1875R,476520562247,False,False,False,Pending,
CUST00000114,UVQGC5695W,582609600750,True,True,True,Pending,
CUST00000115,EBNKM5985Q,189301636842,False,False,True,Pending,
CUST00000116,LOPZI8135L,727287818414,False,True,True,Pending,
CUST00000117,NEVMU5741N,186771641814,False,True,True,Pending,
CUST00000118,DRFXU3410Q,029798013472,True,False,True,Pending,
CUST00000119,XNYKI8063L,376703927499,True,False,False,Pending,
CUST00000120,RVIFO4145G,601467151188,True,True,False,Pending,
CUST00000121,GTESP4877M,043745576639,True,False,True,Pending,
CUST00000122,MZUHN3573P,759479227019,True,True,True,Pending,
CUST00000123,PMQJG2964W,193517087165,False,False,False,Pending,
CUST00000124,FRLBI5716E,816945384554,True,False,True,Pending,
CUST00000125,HWIFQ8335U,920148292379,False,True,False,Pending,
CUST00000126,UJOWP9744N,506601165586,False,False,False,Rejected,2023-05-28
CUST00000127,GJOUO1915V,066056772136,True,False,True,Pending,
CUST00000128,XXLGP4833P,823691099787,False,True,True,Pending,
CUST00000129,FARPC6414C,680047215357,True,True,False,Pending,
CUST00000130,ILCXX1162B,555018789005,True,True,True,Pending,
CUST00000131,PTDDJ5338Z,334923212430,True,True,True,Verified,2022-07-13
CUST00000132,FQGDM7923X,904744730981,True,True,True,Pending,
CUST00000133,UVMVM5996K,334335784370,True,False,True,Pending,
CUST00000134,FZWFF6344A,605033511637,True,True,True,Pending,
CUST00000135,QGVEX4950A,342602732269,False,False,False,Pending,
CUST00000136,AEHAP9015K,110293940996,False,True,False,Pending,
CUST00000137,HTPRN2498Y,713032928442,False,False,False,Pending,
CUST00000138,TFCGV1611B,042956030293,True,True,False,Pending,
CUST00000139,AALDA3821K,569318606231,False,False,True,Pending,
CUST00000140,GWAFJ7877E,763009763252,False,False,False,Pending,
CUST00000141,MUOCY2550I,203756941431,True,False,False,Pending,
CUST00000142,POSIZ7028H,371894284088,True,True,True,Pending,
CUST00000143,NEOIB1836B,416485155964,False,False,True,Pending,
CUST00000144,WDDMG7014X,088884235940,False,True,True,Pending,
CUST00000145,XOFQF7292E,244626556157,True,False,True,Pending,
CUST00000146,RWZDH5858O,927059944617,True,True,False,Pending,
CUST00000147,KNYMR7917X,740912602870,True,False,True,Pending,
CUST00000148,AYNXD4184E,586998008814,False,True,True,Pending,
CUST00000149,GSEZE3366T,606913821729,False,False,False,Pending,
CUST00000150,LNDUR7661P,567659486378,True,True,False,Pending,
CUST00000151,YXXUQ8887W,248187063378,False,False,False,Pending,
CUST00000152,STLFV9501D,361593640762,False,False,True,Pending,
CUST00000153,MQPXS7695F,413245912314,True,True,True,Pending,
CUST00000154,CJDWG6600X,143438250086,True,False,True,Pending,
CUST00000155,PTDAB4166I,159492834942,True,True,True,Verified,2024-12-25
CUST00000156,BAMSB8841M,423691703242,False,True,False,Pending,
CUST00000157,YLZZD2307V,170052459609,False,True,False,Pending,
CUST00000158,MVONX3562O,094315211997,True,False,True,Pending,
CUST00000159,XZSCK7926R,864650456960,False,True,False,Pending,
CUST00000160,FZTRM6069T,281871136354,False,True,False,Pending,
CUST00000161,YCDYT8156X,454783990497,True,True,True,Pending,
